show_id,showdate,permalink,artist_id,artist,showtitle,venue_id,venuename,location,city,state,country,tour_id,tourname,showorder,show_year,show_day,show_dayname,show_month,show_monthname,updated_at,created_at
1605930400,2014-09-27,goose-september-27-2014-jimmys-seaside-tavern-stamford-ct-usa.html,1,Goose,,24,Jimmy's Seaside Tavern,"Stamford, CT, USA",Stamford,CT,USA,1,Not Part of a Tour,1,2014,27,Saturday,9,September,2023-09-18 18:50:23,2020-11-20 22:46:40
1616038942,2014-10-24,goose-october-24-2014-station-house-bar-and-grille-norwalk-ct-usa.html,1,Goose,,35,Station House Bar and Grille,"Norwalk, CT, USA",Norwalk,CT,USA,1,Not Part of a Tour,1,2014,24,Friday,10,October,2021-03-17 23:42:22,2021-03-17 23:42:22
1613690100,2014-10-25,goose-october-25-2014-tavern-on-seven-norwalk-ct-usa.html,1,Goose,,26,Tavern On Seven,"Norwalk, CT, USA",Norwalk,CT,USA,1,Not Part of a Tour,1,2014,25,Saturday,10,October,2021-02-18 18:15:00,2021-02-18 18:15:00
1613690131,2014-11-21,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,1,Goose,,25,O'Neill's Irish Pub &amp; Restaurant,"Norwalk, CT, USA",Norwalk,CT,USA,1,Not Part of a Tour,1,2014,21,Friday,11,November,2023-11-26 17:52:53,2021-02-18 18:15:31
1616038775,2014-11-26,goose-november-26-2014-station-house-bar-and-grille-norwalk-ct-usa.html,1,Goose,,35,Station House Bar and Grille,"Norwalk, CT, USA",Norwalk,CT,USA,1,Not Part of a Tour,1,2014,26,Wednesday,11,November,2022-09-12 20:01:37,2021-03-17 23:39:35
1613690543,2014-12-20,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,1,Goose,,36,Factory Underground Studio,"Norwalk, CT, USA",Norwalk,CT,USA,13,Goosemas I,1,2014,20,Saturday,12,December,2023-05-08 16:16:53,2021-02-18 18:22:23
1616038744,2014-12-23,goose-december-23-2014-station-house-bar-and-grille-norwalk-ct-usa.html,1,Goose,,35,Station House Bar and Grille,"Norwalk, CT, USA",Norwalk,CT,USA,1,Not Part of a Tour,1,2014,23,Tuesday,12,December,2025-04-04 19:46:07,2021-03-17 23:39:04
1601959537,2015-01-16,goose-january-16-2015-viva-zapata-westport-ct-usa.html,1,Goose,,9,Viva Zapata,"Westport, CT, USA",Westport,CT,USA,1,Not Part of a Tour,1,2015,16,Friday,1,January,2023-07-14 21:23:12,2020-10-06 00:45:37
1613701736,2015-01-17,goose-january-17-2015-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,1,Goose,,25,O'Neill's Irish Pub &amp; Restaurant,"Norwalk, CT, USA",Norwalk,CT,USA,1,Not Part of a Tour,1,2015,17,Saturday,1,January,2021-02-18 21:28:56,2021-02-18 21:28:56
1616038703,2015-01-20,goose-january-20-2015-wonder-bar-allston-ma-usa.html,1,Goose,,37,Wonder Bar,"Allston, MA, USA",Allston,MA,USA,1,Not Part of a Tour,1,2015,20,Tuesday,1,January,2021-03-17 23:38:23,2021-03-17 23:38:23
