uniqueid,show_id,showdate,showtitle,artist,song_id,songname,artist_id,permalink,settype,setnumber,position,tracktime,transition_id,transition,footnote,isjamchart,jamchart_notes,venue_id,shownotes,showyear,showorder,opener,tour_id,tourname,soundcheck,isverified,slug,isoriginal,original_artist,venuename,city,state,country,isreprise,isjam,css_class,isrecommended
40785,1613690131,2014-11-21,,Goose,871,A Go Go,1,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,Set,1,1,,1,", ",John Scofield. First known version.,0,,25,,2014,1,,1,Not Part of a Tour,,1,a-go-go,0,John Scofield,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,0,0,,
40786,1613690131,2014-11-21,,Goose,483,Gone Gone Good,1,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,Set,1,2,,1,", ",First known version.,0,,25,,2014,1,,1,Not Part of a Tour,,1,gone-gone-good,1,,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,0,0,,
40787,1613690131,2014-11-21,,Goose,569,The Waking End,1,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,Set,1,3,,1,", ",First known version.,0,,25,,2014,1,,1,Not Part of a Tour,,1,the-waking-end,1,,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,0,0,,
40788,1613690131,2014-11-21,,Goose,873,Deal,1,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,Set,1,4,,1,", ",Grateful Dead. First known version.,0,,25,,2014,1,,1,Not Part of a Tour,,1,deal,0,Grateful Dead,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,0,0,,
40789,1613690131,2014-11-21,,Goose,400,Turned Clouds,1,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,Set,1,5,,1,", ",First known version.,0,,25,,2014,1,,1,Not Part of a Tour,,1,turned-clouds,1,,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,0,0,,
40790,1613690131,2014-11-21,,Goose,447,Chank,1,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,Set,1,6,,1,", ",John Scofield. First known version. With Jeff Engborg on keys.,0,,25,,2014,1,,1,Not Part of a Tour,,1,chank,0,John Scofield,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,0,0,,
40791,1613690131,2014-11-21,,Goose,495,I Wish,1,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,Set,1,7,,4,,Stevie Wonder. First known version.,0,,25,,2014,1,,1,Not Part of a Tour,,1,i-wish,0,Stevie Wonder,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,0,0,,
40792,1613690131,2014-11-21,,Goose,802,Jam,1,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,Set,2,8,,2, > ,,0,,25,,2014,1,,1,Not Part of a Tour,,1,jam,1,,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,0,0,,
40793,1613690131,2014-11-21,,Goose,581,Use Me,1,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,Set,2,9,,1,", ",Bill Withers. First known version.,0,,25,,2014,1,,1,Not Part of a Tour,,1,use-me,0,Bill Withers,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,0,0,,
40794,1613690131,2014-11-21,,Goose,872,The River,1,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,Set,2,10,,2, > ,First known version.,0,,25,,2014,1,,1,Not Part of a Tour,,1,the-river,1,,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,0,0,,
40795,1613690131,2014-11-21,,Goose,440,Billie Jean,1,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,Set,2,11,,1,", ",Michael Jackson. First known version.,0,,25,,2014,1,,1,Not Part of a Tour,,1,billie-jean,0,Michael Jackson,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,0,0,,
40796,1613690131,2014-11-21,,Goose,403,Arcadia,1,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,Set,2,12,,2, > ,First known version.,0,,25,,2014,1,,1,Not Part of a Tour,,1,arcadia,1,,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,0,0,,
40797,1613690131,2014-11-21,,Goose,411,Jive I,1,goose-november-21-2014-oneills-irish-pub-amp-restaurant-norwalk-ct-usa.html,Set,2,13,,6,,Wiltonian Jive. First known version.,0,,25,,2014,1,,1,Not Part of a Tour,,1,jive-i,1,,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,0,0,,
7718,1616038775,2014-11-26,,Goose,802,Jam,1,goose-november-26-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,1,,1,", ",This was the band's soundcheck.,0,,35,,2014,1,,1,Not Part of a Tour,,1,jam,1,,Station House Bar and Grille,Norwalk,CT,USA,0,0,,
7719,1616038775,2014-11-26,,Goose,548,Shoe Dog,1,goose-november-26-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,2,,1,", ",John Scofield. First known version.,0,,35,,2014,1,,1,Not Part of a Tour,,1,shoe-dog,0,John Scofield,Station House Bar and Grille,Norwalk,CT,USA,0,0,,
7720,1616038775,2014-11-26,,Goose,592,Me & My Uncle,1,goose-november-26-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,3,,1,", ",John Phillips. First known version.,0,,35,,2014,1,,1,Not Part of a Tour,,1,me-and-my-uncle,0,John Philips,Station House Bar and Grille,Norwalk,CT,USA,0,0,,
16638,1616038775,2014-11-26,,Goose,566,Tennessee Jed,1,goose-november-26-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,4,,1,", ",Grateful Dead. First known version.,0,,35,,2014,1,,1,Not Part of a Tour,,1,tennessee-jed,0,Grateful Dead,Station House Bar and Grille,Norwalk,CT,USA,0,0,,
7721,1616038775,2014-11-26,,Goose,523,New Speedway Boogie,1,goose-november-26-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,5,,1,", ",Grateful Dead. First known version.,0,,35,,2014,1,,1,Not Part of a Tour,,1,new-speedway-boogie,0,Grateful Dead,Station House Bar and Grille,Norwalk,CT,USA,0,0,,
7722,1616038775,2014-11-26,,Goose,476,Fire On The Mountain,1,goose-november-26-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,6,,1,", ",Grateful Dead. First known version.,0,,35,,2014,1,,1,Not Part of a Tour,,1,fire-on-the-mountain,0,Grateful Dead,Station House Bar and Grille,Norwalk,CT,USA,0,0,,
7723,1616038775,2014-11-26,,Goose,452,Cold Rain And Snow,1,goose-november-26-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,7,,1,", ",Grateful Dead. First known version.,0,,35,,2014,1,,1,Not Part of a Tour,,1,cold-rain-and-snow,0,Grateful Dead,Station House Bar and Grille,Norwalk,CT,USA,0,0,,
7724,1616038775,2014-11-26,,Goose,485,Hard To Handle,1,goose-november-26-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,8,,1,", ",Otis Redding. First known version.,0,,35,,2014,1,,1,Not Part of a Tour,,1,hard-to-handle,0,Otis Redding,Station House Bar and Grille,Norwalk,CT,USA,0,0,,
7725,1616038775,2014-11-26,,Goose,543,Sco-Mule,1,goose-november-26-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,9,,1,", ",John Scofield & Government Mule. First known version.,0,,35,,2014,1,,1,Not Part of a Tour,,1,sco-mule,0,Government Mule ft. John Scofield,Station House Bar and Grille,Norwalk,CT,USA,0,0,,
7726,1616038775,2014-11-26,,Goose,557,Spirit Of The Dark Horse,1,goose-november-26-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,10,,1,", ",First known version.,0,,35,,2014,1,,1,Not Part of a Tour,,1,spirit-of-the-dark-horse,1,,Station House Bar and Grille,Norwalk,CT,USA,0,0,,
7727,1616038775,2014-11-26,,Goose,493,I Shot The Sheriff,1,goose-november-26-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,11,,1,", ",Bob Marley. First known version.,0,,35,,2014,1,,1,Not Part of a Tour,,1,i-shot-the-sheriff,0,Bob Marley,Station House Bar and Grille,Norwalk,CT,USA,0,0,,
7728,1616038775,2014-11-26,,Goose,403,Arcadia,1,goose-november-26-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,12,,6,,,0,,35,,2014,1,,1,Not Part of a Tour,,1,arcadia,1,,Station House Bar and Grille,Norwalk,CT,USA,0,0,,
4903,1613690543,2014-12-20,,Goose,507,Linus And Lucy,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,1,1,,1,", ",Vince Guaraldi. First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,linus-and-lucy-2,0,Vince Guaraldi,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4904,1613690543,2014-12-20,,Goose,543,Sco-Mule,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,1,2,,1,", ",John Scofield & Government Mule.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,sco-mule,0,Government Mule ft. John Scofield,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4905,1613690543,2014-12-20,,Goose,500,It Burns Within,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,1,3,,1,", ",First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,it-burns-within,1,St. John's Revival,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4906,1613690543,2014-12-20,,Goose,483,Gone Gone Good,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,1,4,,1,", ",,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,gone-gone-good,1,,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4907,1613690543,2014-12-20,,Goose,517,Mississippi Half-Step Uptown Toodeloo,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,1,5,,1,", ",Grateful Dead. First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,mississippi-half-step-uptown-toodeloo,0,Grateful Dead,Factory Underground Studio,Norwalk,CT,USA,0,0,,
